Batch 1 predictions: ['javelin throw', 'singing', 'assembling computer', 'ironing', 'hurdling', 'country line dancing', 'hugging baby', 'filling eyebrows', 'grinding meat', 'eating doughnuts', 'snatch weight lifting', 'washing dishes', 'applying cream', 'training dog', 'skydiving', 'grinding meat', 'krumping', 'smoking hookah', 'tobogganing', 'playing guitar', 'catching fish', 'riding a bike', 'cartwheeling', 'waking up', 'catching or throwing softball', 'spinning poi', 'carving pumpkin', 'carving pumpkin', 'throwing discus', 'water skiing', 'ice climbing', 'cooking chicken', 'playing basketball', 'bowling', 'mopping floor', 'playing guitar', 'playing harmonica', 'juggling soccer ball', 'high kick', 'busking', 'playing xylophone', 'welding', 'changing oil', 'opening present', 'eating cake', 'paragliding', 'riding mechanical bull', 'cooking egg', 'bending back', 'grinding meat', 'laughing', 'wrestling', 'planting trees', 'shot put', 'unloading truck', 'hopscotch', 'laying bricks', 'throwing ball (not baseball or American football)', 'playing saxophone', 'hugging (not baby)', 'smoking', 'spraying', 'presenting weather forecast', 'disc golfing']
Batch 1 soft predictions: ['javelin throw', 'singing', 'assembling computer', 'ironing', 'hurdling', 'country line dancing', 'hugging baby', 'filling eyebrows', 'grinding meat', 'eating doughnuts', 'snatch weight lifting', 'washing dishes', 'applying cream', 'training dog', 'skydiving', 'grinding meat', 'krumping', 'smoking hookah', 'tobogganing', 'playing guitar', 'catching fish', 'riding a bike', 'cartwheeling', 'waking up', 'catching or throwing softball', 'spinning poi', 'carving pumpkin', 'carving pumpkin', 'throwing discus', 'water skiing', 'ice climbing', 'cooking chicken', 'playing basketball', 'bowling', 'mopping floor', 'playing guitar', 'playing harmonica', 'juggling soccer ball', 'high kick', 'busking', 'playing xylophone', 'welding', 'changing oil', 'opening present', 'eating cake', 'paragliding', 'riding mechanical bull', 'cooking egg', 'bending back', 'grinding meat', 'laughing', 'wrestling', 'planting trees', 'shot put', 'unloading truck', 'hopscotch', 'laying bricks', 'throwing ball (not baseball or American football)', 'playing saxophone', 'hugging (not baby)', 'smoking', 'spraying', 'presenting weather forecast', 'disc golfing']
Batch 1 true labels: ['javelin throw', 'using megaphone', 'assembling computer', 'ironing', 'hurdling', 'country line dancing', 'waiting in line', 'filling eyebrows', 'grinding meat', 'eating doughnuts', 'snatch weight lifting', 'washing dishes', 'doing nails', 'walking the dog', 'skydiving', 'grinding meat', 'krumping', 'smoking hookah', 'tobogganing', 'playing guitar', 'catching fish', 'riding a bike', 'cartwheeling', 'somersaulting', 'catching or throwing softball', 'spinning poi', 'carving pumpkin', 'carving pumpkin', 'throwing discus', 'water skiing', 'ice climbing', 'cooking chicken', 'shooting basketball', 'bowling', 'mopping floor', 'playing piano', 'eating hotdog', 'juggling soccer ball', 'catching or throwing baseball', 'busking', 'playing xylophone', 'spraying', 'changing oil', 'opening present', 'eating cake', 'paragliding', 'riding mechanical bull', 'cooking egg', 'bending back', 'grinding meat', 'eating chips', 'faceplanting', 'planting trees', 'stretching arm', 'unloading truck', 'hopscotch', 'laying bricks', 'tai chi', 'playing saxophone', 'egg hunting', 'shaking hands', 'blasting sand', 'presenting weather forecast', 'disc golfing']
Batch 1 top 5 predictions:
['javelin throw', 'shot put', 'throwing discus', 'hammer throw', 'high jump']
['catching fish', 'feeding fish', 'feeding birds', 'egg hunting', 'flipping bottle']
['applauding', 'clapping', 'dancing charleston', 'sign language interpreting', 'blowing nose']
['making sushi', 'breading or breadcrumbing', 'sharpening knives', 'washing dishes', 'brush painting']
['jaywalking', 'riding scooter', 'using segway', 'directing traffic', 'riding unicycle']
['news anchoring', 'answering questions', 'presenting weather forecast', 'adjusting glasses', 'kissing']
['unloading truck', 'moving furniture', 'pushing cart', 'pushing car', 'mowing lawn']
['welding', 'tossing coin', 'bending metal', 'making jewelry', 'counting money']
['bouncing on trampoline', 'eating watermelon', 'eating hotdog', 'wrestling', 'rock scissors paper']
['riding mule', 'riding or walking with horse', 'wading through mud', 'country line dancing', 'riding camel']
['sign language interpreting', 'whistling', 'tasting food', 'clapping', 'beatboxing']
['springboard diving', 'somersaulting', 'jumping into pool', 'high kick', 'gymnastics tumbling']
['picking blueberries', 'watering plants', 'planting trees', 'trimming trees', 'spraying']
['splashing water', 'walking the dog', 'spraying', 'training dog', 'pumping gas']
['training dog', 'cutting nails', 'shaking hands', 'petting animal (not cat)', 'throwing ball (not baseball or American football)']
['sneezing', 'winking', 'crying', 'sticking tongue out', 'shaking head']
['playing violin', 'singing', 'playing cello', 'playing drums', 'air drumming']
['pushing car', 'moving furniture', 'unloading truck', 'headbutting', 'directing traffic']
['trimming trees', 'dunking basketball', 'playing basketball', 'shooting basketball', 'slacklining']
['eating hotdog', 'sticking tongue out', 'eating carrots', 'eating watermelon', 'eating chips']
['lunge', 'stretching leg', 'jogging', 'shoot dance', 'doing aerobics']
['building cabinet', 'moving furniture', 'assembling computer', 'shredding paper', 'throwing ball (not baseball or American football)']
['waking up', 'reading book', 'unboxing', 'beatboxing', 'slapping']
['yawning', 'coughing', 'sticking tongue out', 'shouting', 'sneezing']
['faceplanting', 'drop kicking', 'somersaulting', 'water sliding', 'surfing water']
['laughing', 'kissing', 'winking', 'shouting', 'answering questions']
['catching or throwing baseball', 'hitting baseball', 'catching or throwing softball', 'playing kickball', 'throwing ball (not baseball or American football)']
['getting a tattoo', 'shaving head', 'fixing hair', 'getting a haircut', 'listening with headphones']
['bench pressing', 'situp', 'front raises', 'exercising arm', 'clean and jerk']
['arm wrestling', 'drinking shots', 'tasting beer', 'rock scissors paper', 'dining']
['shooting goal (soccer)', 'kicking soccer ball', 'juggling soccer ball', 'side kick', 'high kick']
['headbutting', 'flipping bottle', 'slapping', 'rock scissors paper', 'shaving legs']
['tossing salad', 'frying vegetables', 'tasting food', 'dining', 'making pizza']
['dribbling basketball', 'playing basketball', 'shooting basketball', 'dodgeball', 'dunking basketball']
['jogging', 'lunge', 'skipping rope', 'kitesurfing', 'shoot dance']
['smoking', 'feeding birds', 'tossing coin', 'bending metal', 'bungee jumping']
['crossing river', 'wading through mud', 'splashing water', 'playing paintball', 'mowing lawn']
['presenting weather forecast', 'sign language interpreting', 'clapping', 'finger snapping', 'news anchoring']
['cutting pineapple', 'blending fruit', 'cutting watermelon', 'peeling potatoes', 'sharpening knives']
['testifying', 'answering questions', 'applauding', 'news anchoring', 'auctioning']
['pushing car', 'moving furniture', 'headbutting', 'faceplanting', 'wrestling']
['robot dancing', 'tai chi', 'zumba', 'tap dancing', 'breakdancing']
['washing dishes', 'flipping pancake', 'cooking egg', 'making tea', 'cooking sausages (not on barbeque)']
['situp', 'exercising with an exercise ball', 'throwing ball (not baseball or American football)', 'exercising arm', 'squat']
['playing harp', 'sign language interpreting', 'playing piano', 'playing cello', 'playing organ']
['paragliding', 'snowkiting', 'kitesurfing', 'skydiving', 'flying kite']
['clapping', 'sticking tongue out', 'shaking head', 'high fiving', 'crawling baby']
['cutting watermelon', 'eating watermelon', 'making a sandwich', 'blending fruit', 'cutting pineapple']
['high jump', 'gymnastics tumbling', 'bouncing on trampoline', 'drop kicking', 'pole vault']
['watching tv', 'dancing gangnam style', 'clapping', 'high fiving', 'playing harmonica']
['eating cake', 'making a cake', 'eating ice cream', 'celebrating', 'drinking shots']
['eating watermelon', 'cutting watermelon', 'eating hotdog', 'stomping grapes', 'picking blueberries']
['bartending', 'opening bottle (not wine)', 'drinking shots', 'uncorking champagne', 'tasting beer']
['checking watch', 'cutting nails', 'building lego', 'adjusting glasses', 'sharpening pencil']

Batch 131 predictions: ['waking up', 'carrying baby', 'skipping rope', 'deadlifting', 'changing oil', 'flying kite', 'hitting baseball', 'applying cream', 'shredding paper', 'hula hooping', 'arranging flowers', 'situp', 'grooming dog', 'petting cat', 'auctioning', 'folding paper', 'tasting food', 'catching or throwing baseball', 'playing piano', 'busking', 'dancing ballet', 'shearing sheep', 'riding a bike', 'making tea', 'throwing axe', 'juggling fire', 'splashing water', 'playing paintball', 'hurdling', 'skiing mono', 'lunge', 'shaving head', 'waxing', 'clapping', 'headbutting', 'sanding floor', 'hitting baseball', 'cartwheeling', 'waiting in line', 'swing dancing', 'bowling', 'shoot dance', 'dancing ballet', 'moving furniture', 'reading book', 'dribbling basketball', 'playing cricket', 'playing harmonica', 'rock climbing', 'surfing water', 'tying bow tie', 'cooking chicken', 'dyeing hair', 'knitting', 'zumba', 'building shed', 'marching', 'cartwheeling', 'golf driving', 'recording music', 'splashing water', 'sharpening pencil', 'tying bow tie', 'skipping rope']
Batch 131 soft predictions: ['waking up', 'carrying baby', 'skipping rope', 'deadlifting', 'changing oil', 'flying kite', 'hitting baseball', 'applying cream', 'shredding paper', 'hula hooping', 'arranging flowers', 'situp', 'grooming dog', 'petting cat', 'auctioning', 'folding paper', 'tasting food', 'catching or throwing baseball', 'playing piano', 'busking', 'dancing ballet', 'shearing sheep', 'riding a bike', 'making tea', 'throwing axe', 'juggling fire', 'splashing water', 'playing paintball', 'hurdling', 'skiing mono', 'lunge', 'shaving head', 'waxing', 'clapping', 'headbutting', 'sanding floor', 'hitting baseball', 'cartwheeling', 'waiting in line', 'swing dancing', 'bowling', 'shoot dance', 'dancing ballet', 'moving furniture', 'reading book', 'dribbling basketball', 'playing cricket', 'playing harmonica', 'rock climbing', 'surfing water', 'tying bow tie', 'cooking chicken', 'dyeing hair', 'knitting', 'zumba', 'building shed', 'marching', 'cartwheeling', 'golf driving', 'recording music', 'splashing water', 'sharpening pencil', 'tying bow tie', 'skipping rope']
Batch 131 true labels: ['baby waking up', 'reading book', 'bending metal', 'deadlifting', 'changing oil', 'javelin throw', 'hitting baseball', 'yawning', 'shredding paper', 'archery', 'arranging flowers', 'stretching arm', 'grooming dog', 'petting cat', 'auctioning', 'folding paper', 'eating burger', 'catching or throwing softball', 'playing piano', 'busking', 'dancing ballet', 'shearing sheep', 'riding a bike', 'making tea', 'throwing axe', 'juggling fire', 'snorkeling', 'playing paintball', 'hurdling', 'skiing mono', 'lunge', 'shaving head', 'waxing', 'applying cream', 'news anchoring', 'sanding floor', 'hitting baseball', 'side kick', 'waiting in line', 'swing dancing', 'bowling', 'krumping', 'dancing ballet', 'playing kickball', 'reading book', 'dribbling basketball', 'playing cricket', 'playing harmonica', 'rock climbing', 'surfing water', 'tying bow tie', 'cooking chicken', 'dyeing hair', 'knitting', 'zumba', 'building shed', 'marching', 'spinning poi', 'golf driving', 'recording music', 'exercising with an exercise ball', 'sharpening pencil', 'tying bow tie', 'skipping rope']
Batch 131 top 5 predictions:
['waking up', 'baby waking up', 'sneezing', 'crying', 'somersaulting']
['carrying baby', 'pushing cart', 'hugging (not baby)', 'winking', 'waiting in line']
['skipping rope', 'shot put', 'wrestling', 'archery', 'auctioning']
['deadlifting', 'squat', 'bench pressing', 'lunge', 'stretching leg']
['changing oil', 'changing wheel (not on bike)', 'checking tires', 'blasting sand', 'milking cow']
['flying kite', 'catching or throwing frisbee', 'disc golfing', 'playing badminton', 'throwing discus']
['hitting baseball', 'catching or throwing baseball', 'hammer throw', 'spinning poi', 'catching or throwing softball']
['applying cream', 'answering questions', 'applauding', 'stretching arm', 'sign language interpreting']
['shredding paper', 'training dog', 'shining shoes', 'tap dancing', 'mopping floor']
['hula hooping', 'playing badminton', 'sword fighting', 'catching or throwing frisbee', 'slacklining']
['arranging flowers', 'setting table', 'weaving basket', 'dining', 'planting trees']
['situp', 'stretching arm', 'stretching leg', 'punching person (boxing)', 'wrestling']
['grooming dog', 'washing hands', 'milking goat', 'opening bottle (not wine)', 'washing dishes']
['petting cat', 'high fiving', 'petting animal (not cat)', 'shaking hands', 'hugging (not baby)']
['auctioning', 'unloading truck', 'shredding paper', 'tasting beer', 'dining']
['folding paper', 'folding napkins', 'tying bow tie', 'shuffling cards', 'tying necktie']
['tasting food', 'eating burger', 'dining', 'eating hotdog', 'drinking shots']
['catching or throwing baseball', 'catching or throwing softball', 'hitting baseball', 'throwing ball (not baseball or American football)', 'pumping fist']
['playing piano', 'playing keyboard', 'playing organ', 'playing recorder', 'playing flute']
['busking', 'playing xylophone', 'playing didgeridoo', 'air drumming', 'playing saxophone']
['dancing ballet', 'skipping rope', 'sword fighting', 'tai chi', 'capoeira']
['shearing sheep', 'alligator wrestling', 'washing hair', 'wading through mud', 'milking goat']
['riding a bike', 'faceplanting', 'riding scooter', 'biking through snow', 'pushing wheelchair']
['making tea', 'frying vegetables', 'flipping pancake', 'washing dishes', 'celebrating']
['throwing axe', 'planting trees', 'chopping wood', 'bee keeping', 'digging']
['juggling fire', 'spinning poi', 'playing bagpipes', 'air drumming', 'archery']
['splashing water', 'jetskiing', 'crossing river', 'scuba diving', 'water skiing']
['playing paintball', 'blowing leaves', 'archery', 'throwing axe', 'drop kicking']
['hurdling', 'high jump', 'triple jump', 'long jump', 'parkour']
['skiing mono', 'snowboarding', 'tobogganing', 'ski jumping', 'skiing slalom']
['lunge', 'stretching leg', 'squat', 'push up', 'breakdancing']
['shaving head', 'getting a haircut', 'trimming or shaving beard', 'washing hair', 'dyeing hair']
['waxing', 'applying cream', 'shaving legs', 'dyeing hair', 'bandaging']
['clapping', 'reading book', 'winking', 'laughing', 'high fiving']
['headbutting', 'rock scissors paper', 'laughing', 'answering questions', 'slapping']
['sanding floor', 'spraying', 'spray painting', 'plastering', 'mopping floor']
['hitting baseball', 'catching or throwing baseball', 'catching or throwing softball', 'golf driving', 'throwing ball (not baseball or American football)']
['cartwheeling', 'throwing axe', 'headbutting', 'drop kicking', 'faceplanting']
['waiting in line', 'jaywalking', 'directing traffic', 'busking', 'hugging (not baby)']
['swing dancing', 'salsa dancing', 'dancing charleston', 'tango dancing', 'country line dancing']
['bowling', 'bouncing ball (not juggling)', 'throwing ball (not baseball or American football)', 'swing dancing', 'exercising with an exercise ball']
['shoot dance', 'krumping', 'robot dancing', 'flipping bottle', 'washing dishes']
['dancing ballet', 'tap dancing', 'dancing charleston', 'country line dancing', 'swing dancing']
['moving furniture', 'catching fish', 'feeding fish', 'passing American football', 'disc golfing']
['reading book', 'reading newspaper', 'writing', 'answering questions', 'ripping paper']
['dribbling basketball', 'playing basketball', 'shooting basketball', 'dunking basketball', 'dodgeball']
['playing cricket', 'hitting baseball', 'sword fighting', 'throwing ball (not baseball or American football)', 'celebrating']
['playing harmonica', 'playing flute', 'shuffling cards', 'watering plants', 'whistling']
['rock climbing', 'abseiling', 'ice climbing', 'slacklining', 'climbing']
['surfing water', 'water sliding', 'faceplanting', 'kitesurfing', 'splashing water']
['tying bow tie', 'air drumming', 'tying necktie', 'clapping', 'robot dancing']
['cooking chicken', 'cooking sausages (not on barbeque)', 'barbequing', 'breading or breadcrumbing', 'frying vegetables']
['dyeing hair', 'braiding hair', 'fixing hair', 'curling hair', 'washing hair']
['knitting', 'making jewelry', 'bookbinding', 'sharpening pencil', 'tying knot (not on a tie)']
['zumba', 'doing aerobics', 'dancing macarena', 'dancing gangnam style', 'robot dancing']
['building shed', 'unloading truck', 'building cabinet', 'moving furniture', 'making the bed']
['marching', 'cheerleading', 'directing traffic', 'celebrating', 'playing bagpipes']
['cartwheeling', 'yoga', 'capoeira', 'juggling fire', 'faceplanting']
['golf driving', 'golf chipping', 'golf putting', 'spinning poi', 'hammer throw']
['recording music', 'playing cello', 'busking', 'playing clarinet', 'beatboxing']
['splashing water', 'bouncing ball (not juggling)', 'diving cliff', 'surfing water', 'jumping into pool']
['sharpening pencil', 'using remote controller (not gaming)', 'shredding paper', 'smoking hookah', 'smoking']
['tying bow tie', 'tying necktie', 'folding napkins', 'tying knot (not on a tie)', 'wrapping present']
['skipping rope', 'exercising arm', 'stretching arm', 'spinning poi', 'tai chi']

Batch 132 predictions: ['cheerleading', 'hugging baby', 'shaving head', 'sweeping floor', 'parasailing', 'playing drums', 'splashing water', 'snowboarding', 'playing harp', 'riding mechanical bull', 'playing controller', 'playing violin', 'trimming trees', 'flipping bottle', 'tossing salad', 'scuba diving', 'picking apples', 'bookbinding', 'playing paintball', 'shaking head', 'watering plants', 'waking up', 'blending fruit', 'eating spaghetti', 'milking cow', 'surfing crowd', 'playing recorder', 'playing bagpipes', 'blending fruit', 'spraying', 'clean and jerk', 'jaywalking', 'hugging (not baby)', 'riding a bike', 'water skiing', 'curling hair', 'juggling fire', 'welding', 'arranging flowers', 'listening with headphones', 'shooting goal (soccer)', 'tossing coin', 'pushing cart', 'peeling apples', 'tasting beer', 'kissing', 'laying bricks', 'flipping bottle', 'brushing hair', 'playing badminton', 'hurdling', 'riding mule', 'trimming or shaving beard', 'cleaning', 'shearing sheep', 'belly dancing', 'laying bricks', 'sticking tongue out', 'drumming fingers', 'mowing lawn', 'blasting sand', 'kissing', 'eating watermelon', 'tossing salad']
Batch 132 soft predictions: ['cheerleading', 'hugging baby', 'shaving head', 'sweeping floor', 'parasailing', 'playing drums', 'splashing water', 'snowboarding', 'playing harp', 'riding mechanical bull', 'playing controller', 'playing violin', 'trimming trees', 'flipping bottle', 'tossing salad', 'scuba diving', 'picking apples', 'bookbinding', 'playing paintball', 'shaking head', 'watering plants', 'waking up', 'blending fruit', 'eating spaghetti', 'milking cow', 'surfing crowd', 'playing recorder', 'playing bagpipes', 'blending fruit', 'spraying', 'clean and jerk', 'jaywalking', 'hugging (not baby)', 'riding a bike', 'water skiing', 'curling hair', 'juggling fire', 'welding', 'arranging flowers', 'listening with headphones', 'shooting goal (soccer)', 'tossing coin', 'pushing cart', 'peeling apples', 'tasting beer', 'kissing', 'laying bricks', 'flipping bottle', 'brushing hair', 'playing badminton', 'hurdling', 'riding mule', 'trimming or shaving beard', 'cleaning', 'shearing sheep', 'belly dancing', 'laying bricks', 'sticking tongue out', 'drumming fingers', 'mowing lawn', 'blasting sand', 'kissing', 'eating watermelon', 'tossing salad']
Batch 132 true labels: ['cheerleading', 'hugging baby', 'shaving head', 'hugging baby', 'parasailing', 'playing drums', 'zumba', 'snowboarding', 'playing harp', 'riding mechanical bull', 'playing controller', 'playing violin', 'trimming trees', 'counting money', 'tossing salad', 'scuba diving', 'picking apples', 'bookbinding', 'playing paintball', 'watching tv', 'watering plants', 'waking up', 'blending fruit', 'eating spaghetti', 'milking cow', 'surfing crowd', 'playing recorder', 'playing bagpipes', 'blending fruit', 'blasting sand', 'clean and jerk', 'jaywalking', 'crying', 'riding a bike', 'water skiing', 'curling hair', 'juggling fire', 'welding', 'bartending', 'listening with headphones', 'shooting goal (soccer)', 'tossing coin', 'pushing cart', 'peeling apples', 'tasting beer', 'drinking shots', 'laying bricks', 'throwing axe', 'blowing nose', 'playing tennis', 'hurdling', 'riding mule', 'tying bow tie', 'moving furniture', 'shearing sheep', 'belly dancing', 'laying bricks', 'sticking tongue out', 'drumming fingers', 'mowing lawn', 'blasting sand', 'kissing', 'eating watermelon', 'tossing salad']
Batch 132 top 5 predictions:
['cheerleading', 'celebrating', 'singing', 'marching', 'high kick']
['hugging baby', 'hugging (not baby)', 'kissing', 'tickling', 'carrying baby']
['shaving head', 'getting a haircut', 'dyeing hair', 'fixing hair', 'washing hair']
['sweeping floor', 'mopping floor', 'cleaning', 'waiting in line', 'hugging (not baby)']
['parasailing', 'skydiving', 'kitesurfing', 'paragliding', 'sailing']
['playing drums', 'playing cymbals', 'tap dancing', 'recording music', 'playing clarinet']
['splashing water', 'gargling', 'dancing macarena', 'hopscotch', 'drinking shots']
['snowboarding', 'skiing mono', 'ski jumping', 'skiing crosscountry', 'skiing slalom']
['playing harp', 'playing cello', 'playing piano', 'playing flute', 'playing violin']
['riding mechanical bull', 'riding elephant', 'riding camel', 'riding mule', 'auctioning']
['playing controller', 'using remote controller (not gaming)', 'robot dancing', 'playing slot machine', 'drumming fingers']
['playing violin', 'playing cello', 'playing flute', 'busking', 'playing piano']
['trimming trees', 'planting trees', 'bending metal', 'chopping wood', 'picking blueberries']
['flipping bottle', 'bending back', 'tapping pen', 'rock scissors paper', 'counting money']
['tossing salad', 'frying vegetables', 'blending fruit', 'making pizza', 'tasting food']
['scuba diving', 'snorkeling', 'feeding fish', 'headbanging', 'playing paintball']
['picking apples', 'picking blueberries', 'peeling apples', 'egg hunting', 'trimming trees']
['bookbinding', 'building cabinet', 'bending metal', 'sharpening knives', 'folding paper']
['playing paintball', 'spraying', 'wading through mud', 'headbutting', 'archery']
['shaking head', 'watching tv', 'headbanging', 'sticking tongue out', 'headbutting']
['watering plants', 'planting trees', 'blowing leaves', 'cleaning', 'bee keeping']
['waking up', 'wrestling', 'drop kicking', 'faceplanting', 'situp']
['blending fruit', 'making tea', 'making a cake', 'grinding meat', 'baking cookies']
['eating spaghetti', 'dining', 'shaking head', 'eating watermelon', 'eating carrots']
['milking cow', 'milking goat', 'petting animal (not cat)', 'cutting nails', 'hugging (not baby)']
['surfing crowd', 'celebrating', 'applauding', 'hugging (not baby)', 'clapping']
['playing recorder', 'playing flute', 'smoking hookah', 'brushing teeth', 'whistling']
['playing bagpipes', 'marching', 'air drumming', 'playing drums', 'playing recorder']
['blending fruit', 'scrambling eggs', 'making tea', 'cooking egg', 'making a cake']
['spraying', 'blasting sand', 'spray painting', 'extinguishing fire', 'cleaning']
['clean and jerk', 'snatch weight lifting', 'squat', 'lunge', 'pull ups']
['jaywalking', 'directing traffic', 'walking the dog', 'jogging', 'training dog']
['hugging (not baby)', 'kissing', 'crying', 'hugging baby', 'giving or receiving award']
['riding a bike', 'riding scooter', 'faceplanting', 'motorcycling', 'splashing water']
['water skiing', 'skiing mono', 'jetskiing', 'skiing slalom', 'ski jumping']
['curling hair', 'fixing hair', 'braiding hair', 'brushing hair', 'shaving head']
['juggling fire', 'spinning poi', 'contact juggling', 'extinguishing fire', 'juggling balls']
['welding', 'listening with headphones', 'recording music', 'adjusting glasses', 'answering questions']
['arranging flowers', 'auctioning', 'bartending', 'answering questions', 'dining']
['listening with headphones', 'curling hair', 'fixing hair', 'brushing hair', 'shaving head']
['shooting goal (soccer)', 'kicking soccer ball', 'playing volleyball', 'juggling soccer ball', 'playing badminton']
['tossing coin', 'flipping bottle', 'tying knot (not on a tie)', 'building cabinet', 'checking watch']
['pushing cart', 'mowing lawn', 'pushing car', 'carving pumpkin', 'sweeping floor']
['peeling apples', 'peeling potatoes', 'picking apples', 'sharpening pencil', 'grinding meat']
['tasting beer', 'drinking shots', 'eating hotdog', 'arm wrestling', 'opening bottle (not wine)']
['kissing', 'slapping', 'headbutting', 'hugging (not baby)', 'laughing']
['laying bricks', 'tossing coin', 'plastering', 'flipping bottle', 'tapping pen']
['flipping bottle', 'opening bottle (not wine)', 'trimming trees', 'throwing axe', 'archery']
['brushing hair', 'coughing', 'whistling', 'blowing nose', 'yawning']
['playing badminton', 'playing tennis', 'playing squash or racquetball', 'tossing coin', 'adjusting glasses']
['hurdling', 'triple jump', 'long jump', 'riding or walking with horse', 'jogging']
['riding mule', 'riding or walking with horse', 'crossing river', 'country line dancing', 'wading through mud']
['trimming or shaving beard', 'smoking', 'kissing', 'coughing', 'brushing teeth']
['cleaning', 'moving furniture', 'watering plants', 'spray painting', 'parkour']
['shearing sheep', 'alligator wrestling', 'milking goat', 'auctioning', 'sharpening knives']
['belly dancing', 'dancing ballet', 'celebrating', 'tai chi', 'tap dancing']
['laying bricks', 'plastering', 'spraying', 'spray painting', 'unloading truck']
['sticking tongue out', 'sneezing', 'baby waking up', 'winking', 'waking up']
['drumming fingers', 'tapping pen', 'playing keyboard', 'playing piano', 'tapping guitar']
['mowing lawn', 'driving tractor', 'riding scooter', 'pushing cart', 'blowing leaves']
['blasting sand', 'spraying', 'plastering', 'spray painting', 'extinguishing fire']
['kissing', 'hugging (not baby)', 'sticking tongue out', 'hugging baby', 'shouting']
['eating watermelon', 'cutting watermelon', 'eating hotdog', 'whistling', 'eating ice cream']
['tossing salad', 'tasting food', 'eating chips', 'dining', 'making pizza']

Batch 133 predictions: ['presenting weather forecast', 'tai chi', 'tickling', 'watching tv', 'braiding hair', 'doing nails', 'krumping', 'tapping pen', 'bowling', 'bench pressing', 'juggling soccer ball', 'water skiing', 'wading through mud', 'making the bed', 'eating doughnuts', 'eating chips', 'playing bass guitar', 'skipping rope', 'shot put', 'wrapping present', 'front raises', 'tango dancing', 'uncorking champagne', 'salsa dancing', 'skiing crosscountry', 'catching or throwing baseball', 'bartending', 'pumping fist', 'tasting food', 'archery', 'barbequing', 'playing badminton', 'crossing river', 'ice fishing', 'eating burger', 'dancing macarena', 'playing volleyball', 'jumpstyle dancing', 'catching or throwing baseball', 'reading newspaper', 'kitesurfing', 'blending fruit', 'petting animal (not cat)', 'motorcycling', 'breakdancing', 'playing organ', 'playing slot machine', 'cutting watermelon', 'dyeing hair', 'scrambling eggs', 'exercising with an exercise ball', 'busking', 'laying bricks', 'eating carrots', 'side kick', 'braiding hair', 'crying', 'eating spaghetti', 'curling hair', 'tobogganing', 'trimming or shaving beard', 'waiting in line', 'riding a bike', 'skateboarding']
Batch 133 soft predictions: ['presenting weather forecast', 'tai chi', 'tickling', 'watching tv', 'braiding hair', 'doing nails', 'krumping', 'tapping pen', 'bowling', 'bench pressing', 'juggling soccer ball', 'water skiing', 'wading through mud', 'making the bed', 'eating doughnuts', 'eating chips', 'playing bass guitar', 'skipping rope', 'shot put', 'wrapping present', 'front raises', 'tango dancing', 'uncorking champagne', 'salsa dancing', 'skiing crosscountry', 'catching or throwing baseball', 'bartending', 'pumping fist', 'tasting food', 'archery', 'barbequing', 'playing badminton', 'crossing river', 'ice fishing', 'eating burger', 'dancing macarena', 'playing volleyball', 'jumpstyle dancing', 'catching or throwing baseball', 'reading newspaper', 'kitesurfing', 'blending fruit', 'petting animal (not cat)', 'motorcycling', 'breakdancing', 'playing organ', 'playing slot machine', 'cutting watermelon', 'dyeing hair', 'scrambling eggs', 'exercising with an exercise ball', 'busking', 'laying bricks', 'eating carrots', 'side kick', 'braiding hair', 'crying', 'eating spaghetti', 'curling hair', 'tobogganing', 'trimming or shaving beard', 'waiting in line', 'riding a bike', 'skateboarding']
Batch 133 true labels: ['presenting weather forecast', 'stretching arm', 'shaking head', 'dancing ballet', 'fixing hair', 'applying cream', 'shoot dance', 'shuffling cards', 'bowling', 'bench pressing', 'kicking soccer ball', 'water skiing', 'wading through mud', 'making the bed', 'eating doughnuts', 'eating chips', 'playing bass guitar', 'skipping rope', 'shot put', 'tying knot (not on a tie)', 'front raises', 'tango dancing', 'uncorking champagne', 'swing dancing', 'skiing crosscountry', 'yawning', 'bartending', 'pumping fist', 'opening bottle (not wine)', 'flying kite', 'sharpening knives', 'playing badminton', 'crossing river', 'ice fishing', 'eating burger', 'dancing macarena', 'playing volleyball', 'zumba', 'catching or throwing softball', 'reading newspaper', 'kitesurfing', 'blending fruit', 'petting animal (not cat)', 'motorcycling', 'breakdancing', 'playing organ', 'playing slot machine', 'cutting watermelon', 'applying cream', 'scrambling eggs', 'exercising with an exercise ball', 'busking', 'laying bricks', 'eating carrots', 'side kick', 'braiding hair', 'sticking tongue out', 'eating spaghetti', 'curling hair', 'bobsledding', 'trimming or shaving beard', 'tying bow tie', 'riding a bike', 'long jump']
Batch 133 top 5 predictions:
['presenting weather forecast', 'news anchoring', 'testifying', 'shaking hands', 'skydiving']
['tai chi', 'high kick', 'yoga', 'belly dancing', 'cartwheeling']
['tickling', 'sticking tongue out', 'moving baby', 'sneezing', 'shaking head']
['watching tv', 'cartwheeling', 'shoot dance', 'dancing gangnam style', 'high kick']
['braiding hair', 'fixing hair', 'curling hair', 'brushing hair', 'bending back']
['doing nails', 'waxing', 'bandaging', 'cutting nails', 'making jewelry']
['krumping', 'shoot dance', 'breakdancing', 'celebrating', 'juggling soccer ball']
['tapping pen', 'writing', 'headbanging', 'drumming fingers', 'adjusting glasses']
['bowling', 'throwing ball (not baseball or American football)', 'headbutting', 'high kick', 'catching or throwing baseball']
